,Years up,Div yield,Sector,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change
DESP,0,,Consumer Cyclical,3991745.500666301,106.22704522322057,45.77137331478463,304.7294267251551,7.0,622911872.0,-0.88,-10.71590909090909,3.376457329102638
DFLI,0,,Industrials,191063.23106884953,37.93898494696225,36.49403250385809,12.39399442121486,3.0,28119888.0,-0.83,-0.5689156626506024,-38.043655420811014
DFS,0,2.77,Financial Services,279325655.58959955,9.675714839061822,,,17.0,25310871552.0,11.26,8.989342806394315,15.548432404400497
DG,0,1.8099998999999998,Consumer Defensive,327846882.1848551,11.195870432351079,31.295128133028598,12.152922903172588,15.0,28681670656.0,8.69,15.036823935558113,10.18207121488349
DGX,0,2.22,Healthcare,131772554.36055502,2.963519782595897,37.41646425423077,-1.2910088660235908,28.0,14364695552.0,6.71,19.040238450074515,12.715204184579141
DH,0,,Healthcare,7763509.407691956,37.217605370957195,76.87199118969873,43.15377512905461,3.0,1077197312.0,-1.61,-5.751552795031055,-34.670960892277705
DHC,0,1.39999995,Real Estate,4469566.131830215,-11.224835081791456,19.63519067901912,-33.23531668863217,24.0,685282496.0,-1.08,-2.638888888888889,58.44981001577099
DHF,2,7.76,Financial Services,1574264.9610042572,-2877.443914150172,,,26.0,168748672.0,0.32,7.249999999999999,-2.045582928206535
DHI,0,0.86,Consumer Cyclical,388486321.85302734,21.067549044821924,27.60195281725215,27.29427247775552,32.0,46244175872.0,13.88,10.029538904899136,38.57870340167684
DHR,1,0.42,Healthcare,663484172.1142577,19.511329252987565,59.04806816883782,24.728753183729303,46.0,168926101504.0,7.93,28.82849936948298,24.1339687076429
DHT,3,10.4399994,Energy,26222133.750457764,-1.8418114555378118,21.51137203584659,-1294.2148887417864,19.0,1774220032.0,1.14,9.666666666666668,31.039031442775535
DHY,0,10.280000000000001,Financial Services,844696.6122674941,71.05256697531898,,,26.0,203922576.0,-0.01,-197.0,-0.3008469529727694
DINO,0,3.3800002000000005,Energy,85798872.29507446,86.09325079795414,14.960014642940047,121.84656585332758,44.0,10637839360.0,11.5,4.625217391304347,8.474456571144163
DIOD,0,,Technology,29617672.632954914,28.84018652682644,37.85281848884009,39.44710651924023,51.0,3208323840.0,6.35,10.998425196850395,26.130483270340285
DIS,2,0.64,Communication Services,1211874059.615326,11.090228209780822,33.3982203578927,11.851524229558102,62.0,171134926848.0,1.29,72.48062015503876,0.5357656454991985
DK,0,3.83,Energy,20439154.212799072,67.98166954522158,1.1531652253350904,25.65453505958606,18.0,1604091520.0,1.16,21.629310344827587,4.00395328016097
DKNG,2,,Consumer Cyclical,459663037.19070435,91.88400085522733,38.69194783839882,68.98916531771285,5.0,17931665408.0,-2.17,-17.723502304147466,111.27118863333678
DKS,7,2.6500002,Consumer Cyclical,173648933.3333333,12.800164366436592,33.498517790264145,21.601740230591627,22.0,12326222848.0,11.23,13.427426536064113,40.70892652831722
DLB,0,1.4099999,Industrials,37781283.07444255,3.9347503544333398,88.55733765009458,4.380710751348901,19.0,8098408448.0,2.05,41.556097560975616,9.34372603654855
DLO,0,,Technology,17032965.56055705,103.00731744571227,53.12682414668566,86.05383819323329,3.0,4939859456.0,0.45,37.911111111111104,-21.379200000093178
DLR,2,3.54,Real Estate,218652516.3197835,9.695801776035207,59.34965902343878,5.908231963183141,20.0,42666024960.0,2.9,47.56206896551725,9.315669562523109
DLTR,0,,Consumer Defensive,286710406.68233234,6.287300729452923,30.321316617731576,8.482721269184134,29.0,28358219776.0,5.27,24.698292220113853,10.030751848022188
DM,0,,Technology,2750464.475181897,334.22590307353335,-22.629409263242106,-119.5847721437909,5.0,198121424.0,-1.45,-0.4207586206896552,-29.045223039816523
DMTK,0,,Healthcare,525292.5103886923,61.897219658823744,4.529074605107128,-738.1492019884878,7.0,43146180.0,-3.48,-0.3620689655172414,-3.7768857139841367
DNA,0,,Healthcare,30204815.94636917,180.80945696095608,65.18731763305387,125.08503458545412,3.0,2626865664.0,-0.41,-3.024390243902439,-39.831528448355904
DNB,1,1.6900001000000002,Financial Services,40117554.92343902,13.638622499870346,68.4557643972487,13.116617425194955,4.0,5179727872.0,-0.06,-196.66666666666669,-20.814826341032113
DNLI,0,,Healthcare,16580616.369883219,18.696142492957758,,,7.0,2364550656.0,-0.94,-18.20212765957447,51.58245706795102
DNMR,0,,Basic Materials,991142.5705464681,7.351925686752131,2.0470798242701123,-685.1692458561365,4.0,74454944.0,-1.42,-0.5138732394366198,-61.922490674271614
DNN,2,,Energy,29205670.69081942,11.696203113083264,32.692700054176036,28.018046675962673,19.0,1719565824.0,0.05,39.4,38.9380270575367
DNOW,0,,Industrials,7512662.405077617,15.84265886712931,21.199987719951668,31.99848432523694,10.0,1067563264.0,1.18,8.508474576271187,3.445975663953429
DNP,1,9.11,Financial Services,6255414.177246094,305.53110000617187,,,37.0,3108144640.0,-0.47,-18.21276595744681,-2.4095844997310496
DNUT,0,1.0299999,Consumer Defensive,10058498.062432606,16.946295264233,73.38685223936808,18.04163533092924,3.0,2301308160.0,-0.26,-52.5,0.38319437379429644
DO,0,,Energy,15536667.088667553,14.664427746436836,62.55291972775074,66.22222459447775,2.0,1308698368.0,0.45,28.42222222222222,25.00000458497285
DOC,0,7.26,Real Estate,25761271.313476566,9.838572755209707,69.39572088047258,7.2774539239605645,11.0,3147341824.0,0.2,63.349999999999994,-2.650031263303492
DOCN,0,,Technology,28386628.333333332,34.54258242987392,59.23701616983383,45.250705100214304,3.0,2808190464.0,-0.03,-1088.3333333333333,-12.120733793281659
DOCS,1,,Healthcare,63676061.88163757,55.26348166177814,86.94355693538378,55.45178618033319,3.0,5525185536.0,0.58,51.241379310344826,-24.75110569295869
DOCU,2,,Technology,261555386.6836548,37.86786183007331,76.63199325545123,40.11986194757646,6.0,12739757056.0,0.25,249.88,39.40765724799478
DOLE,0,2.8099999,Consumer Defensive,4760254.659233093,45.750556875243106,6.509711730538615,37.499092778003096,3.0,1079342720.0,0.92,12.358695652173912,-0.09751808200749856
DOOR,2,,Industrials,49771411.16175334,13.20375757926242,24.075764907723805,8.506776881748458,15.0,1952902144.0,7.13,12.50350631136045,18.11380432449775
DOUG,0,,Real Estate,1187700.8468818667,30.02469555357214,27.978759489670395,23.989174050560514,3.0,204026784.0,-0.56,-4.107142857142857,-44.25151917311396
DOV,0,1.38,Industrials,119186750.53100586,12.951878530954986,36.860504538611245,11.598199584058143,44.0,20705118208.0,7.28,20.331043956043953,20.79646531227392
DOW,0,5.2699998,Basic Materials,232285250.9425354,23.068426465282453,16.045929022107433,43.43753712233084,5.0,37237166080.0,1.84,28.85326086956522,0.3190347925800223
DOX,1,1.8800000000000001,Technology,50539590.75800578,5.459205680243673,34.7712266387152,6.9382023916765,26.0,10834049024.0,4.49,20.639198218262806,9.029609501147956
DOYU,0,,Communication Services,535047.2437381744,-13.495358149101289,14.023712624998408,-19.653078488650987,5.0,279932768.0,0.06,14.59,-31.166060614185135
DPZ,2,1.15,Consumer Cyclical,221091065.02888998,4.976988931195714,37.935255344843895,1.7658907477271335,20.0,14711758848.0,14.59,28.90815627141878,15.309032250052805
DQ,0,,Technology,19568534.611918133,161.49611234227137,57.980857367263035,289.75389376467615,14.0,1290868736.0,8.83,2.223103057757644,102.78111515432684
DRH,0,1.3200001,Real Estate,17703804.96629715,82.97902151688517,15.328079282253919,-128.96703844951364,19.0,1915281152.0,0.4,22.724999999999998,2.5691018352588153
DRI,0,3.18,Consumer Cyclical,170053391.0522461,11.635406507962458,19.84406143734622,14.684078954934678,29.0,19303983104.0,8.26,19.571428571428573,11.100013005738296
DRMA,0,,Healthcare,1269050.4392778873,,,,3.0,1645649.0,-4.42,-0.10520361990950226,-83.58636828445383
DRS,0,,Industrials,11555625.967330933,-1.4124337229124484,19.377960827737613,7.923787460494857,39.0,5066364416.0,0.62,31.14516129032258,55.623152383958384
DRVN,0,,Consumer Cyclical,15278095.356146494,50.42137492880007,57.811937600536794,41.59251866719899,3.0,2149502464.0,-4.25,-3.084705882352941,-33.27664076235396
DSKE,2,,Industrials,11927868.103084564,10.484759868134852,14.619300595266104,12.232448912326955,9.0,379067904.0,0.14,58.21428571428571,28.31282981794236
DSL,2,12.75,Financial Services,6266752.913881938,-254.10049125117195,,,11.0,1280059904.0,-2.06,-6.004854368932039,-5.135877778041012
DSX,1,19.74,Industrials,2704369.7162532806,30.786246679087704,39.181663431656595,160.37142303140857,19.0,343720640.0,0.62,4.903225806451613,7.564388849351465
DT,2,,Technology,121824105.9109497,28.552464441376824,80.09642498617858,31.062348598250995,5.0,17266206720.0,0.58,101.12068965517241,29.1894027488851
DTC,0,,Consumer Cyclical,5527226.181764604,122.4976141310774,63.59250010055323,117.29032135774433,3.0,168333024.0,0.38,7.657894736842105,-5.304111819985188
DTE,0,3.7900000000000005,Utilities,92200347.81066895,29.74695837169029,23.35836507030271,5.845186613746511,62.0,21112672256.0,6.05,16.91900826446281,3.810288386075695
DTIL,1,,Healthcare,1416759.703683853,148.72302719322536,,,5.0,43890840.0,-0.86,-0.41860465116279066,-51.11860941334935
DTM,0,5.11,Energy,36786017.712910965,10.464822533788054,,,3.0,5240312832.0,3.57,15.137254901960786,7.170279728817148
DUK,0,4.34,Utilities,271867036.73553467,11.107198533864814,47.420553281725944,6.921058609269382,44.0,72863113216.0,4.73,19.987315010570825,2.608964466739186
DUOL,0,,Technology,124136986.96746826,51.21578302595805,72.35347235211897,52.82923169015742,3.0,8006569984.0,-0.27,-705.8148148148148,92.97866312788942
DV,2,,Technology,53585057.2356669,36.19133968376096,83.92955254447541,34.138126943315804,3.0,6877633536.0,0.32,126.4375,16.73595840705307
DVA,0,,Healthcare,78098268.14117432,0.25687943874787567,30.503307092020165,-2.189163257360638,29.0,9542211584.0,6.45,16.195348837209302,21.021660338319332
DVAX,2,,Healthcare,34877488.82647196,454.2279488995973,64.78185245526367,393.87198734098695,20.0,1801898240.0,0.41,34.0,32.70070186720692
DVN,0,6.9,Energy,383995002.90641785,104.93130831523634,27.306417059163035,483.0003508606486,39.0,26665934848.0,5.87,7.090289608177171,33.59995476705367
DWAC,2,,Financial Services,315173740.0,,,,3.0,1419588224.0,-0.68,-56.10294117647058,-27.08373850120597
DWACW,0,,Financial Services,19618074.0,,,,,,-0.136,-91.69117647058823,
DX,1,12.49,Real Estate,12102397.737661997,1.2851974217637563,,,36.0,707498560.0,0.19,65.73684210526316,-5.555829490199737
DXC,1,,Technology,42493836.70173645,-9.659733050028523,22.130328986193938,-11.62569549127479,43.0,4407337472.0,-2.38,-9.563025210084035,-13.43293490627951
DXCM,2,,Healthcare,334856968.8349915,22.96134130673755,66.59655749319141,21.66737103833356,19.0,48632897536.0,0.9,141.57777777777778,38.15622371622154
DXLG,0,,Consumer Cyclical,1922978.1829007468,11.235208893375702,43.84119149943005,32.90125021092659,37.0,253968448.0,0.48,8.791666666666666,373.56133958457997
DYN,2,,Healthcare,75930029.95300293,,,,4.0,1331929728.0,-3.59,-4.724233983286909,-10.383327487134569
EA,2,0.5499999999999999,Communication Services,195416016.82891846,10.69332085668086,74.50288294241764,11.033753440318609,35.0,37079654400.0,3.63,37.977961432506895,13.254014199902343
EAF,0,2.6500002,Industrials,7789995.802548727,2.5610133871422414,48.380133802630176,-8.164309764840555,6.0,387780064.0,0.05,30.2,-21.893497489241295
EAT,0,,Consumer Cyclical,46817528.58009338,10.348135068849144,13.393439858988508,7.514121968848116,40.0,1730993408.0,3.13,12.511182108626198,3.4794120042501175
EB,0,,Technology,8624614.946635563,57.98237871788604,56.28655819463068,106.58418500847122,6.0,797940352.0,-0.21,-37.76190476190476,-13.023655882538904
EBAY,0,2.4,Consumer Cyclical,210717268.82354736,5.5797768730197035,75.66753581393694,0.5265108301602595,26.0,21595590656.0,4.98,8.355421686746988,13.536897151776852
EBC,0,3.15,Financial Services,8906247.70357132,13.90341281068963,,,4.0,2461156608.0,-0.24,-58.125,-2.830546666212166
EBR,0,0.53,Utilities,6200836.600023906,17.362609793484012,93.9790740752753,17.764644742469493,16.0,18784229376.0,0.35,23.685714285714283,9.56214279044877
EBS,0,,Healthcare,2516977.103220621,-11.120703273465265,51.07781904547008,-30.34656565563962,18.0,97542672.0,-15.56,-0.12082262210796914,-29.38119520208369
EC,0,28.149997999999997,Energy,22362325.040690105,78.32982412563881,36.2195293764763,140.0397784109552,16.0,24114884608.0,3.01,3.897009966777409,-2.9416037172719967
ECC,1,16.580000000000002,Financial Services,7222914.272804261,-22.993038984086112,,,10.0,779484224.0,1.09,9.293577981651376,-4.642465155964225
ECL,2,1.16,Basic Materials,212035069.40307617,9.710937354098393,39.790988306588794,4.7242220998767515,51.0,56064225280.0,4.31,45.61948955916474,9.964918275583619
ECVT,0,,Basic Materials,5841374.219417572,28.71699247376621,28.91049531727511,22.091800768566404,7.0,1057825856.0,0.51,17.862745098039213,-6.478045654229834
ED,0,3.7600000000000002,Utilities,156825062.96651205,13.128784505718949,54.496676283036514,3.740728591564624,62.0,30489829376.0,6.77,13.045790251107828,4.683745764436905
EDIT,0,,Healthcare,11843411.816685993,-47.338975359390005,,,8.0,656656512.0,-2.69,-2.9888475836431225,10.482975043049844
EDR,2,0.97,Communication Services,93996824.54040529,24.85710428727066,53.156351048995155,36.09812009854987,3.0,7430696960.0,0.38,65.07894736842105,-15.058730663776089
EDU,0,,Consumer Defensive,128556378.65188599,-3.783282632183512,51.1152867227191,-3.1839820141306077,18.0,12605394944.0,1.8,42.31111111111111,52.4058519036437
EFC,2,14.060001,Real Estate,13803802.170181273,91.16529280511989,,,14.0,1045824000.0,1.11,11.531531531531531,-1.835706547082212
EFX,2,0.63,Industrials,203228920.69793704,11.661134090167923,58.39041479799446,11.600440587385597,44.0,30486349824.0,4.23,58.4917257683215,26.705359758492904
EGHT,0,,Technology,4672778.628794352,18.582977644744215,60.10473564494599,27.07779783197663,27.0,427574016.0,-0.5,-7.0,-9.660091098992106
EGIO,0,,Technology,322015.0,29.07394066707064,31.53677998191823,32.81793655012027,17.0,55297928.0,-0.65,-0.36323076923076925,-15.769777479139568
EGO,0,,Basic Materials,16114834.514045713,-7.86878577984072,28.70982428781677,-30.39835987231313,21.0,2442051328.0,0.3,39.96666666666667,51.81794390080332
EGY,0,5.71,Energy,3247240.899438858,139.3701961313347,37.62161770408259,231.66108213556106,31.0,460596448.0,0.31,14.129032258064516,30.525410223749304
EH,0,,Industrials,7097731.666666666,-45.22178991806092,62.77165444180249,-42.48521386430071,5.0,720482560.0,-0.81,-14.728395061728394,30.090097838362418
EHAB,1,,Healthcare,6398219.554926555,-0.28700245869683894,51.54593415606734,0.8268031657841624,2.0,539394496.0,-3.39,-3.174041297935103,-21.352579776016977
EHC,3,0.8500000000000001,Healthcare,38787147.96015422,10.44520138146453,95.32324391983873,10.533766596843908,38.0,7071000064.0,3.55,19.87042253521127,7.463914339771781
EHTH,0,,Financial Services,2592416.666666667,-16.165820082559996,99.50765083973818,-16.025814766603748,18.0,162388480.0,-3.41,-1.6788856304985336,11.765697528812218
EIX,0,4.79,Utilities,129842600.73928833,12.65243162012627,37.00634494824211,10.285074018695218,51.0,25001027584.0,3.21,20.305295950155767,6.073805683092743
EJH,0,,Consumer Cyclical,2620723.6372057595,18.00646895928735,31.886725280579927,10.84482415823329,3.0,7893843.0,-3114.0,-0.00016987797045600513,-94.62248585795098
EL,0,2.09,Consumer Defensive,359560689.8748779,4.175024709821685,74.63699533376457,2.738867465548252,29.0,45145980928.0,1.53,82.45751633986927,10.5350309138756
ELAB,0,,Healthcare,3098116.249879201,92557.43651753325,73.86672547033062,60428.95805142084,1.0,13725043.0,,,
ELAN,0,,Healthcare,80619478.79581451,19.116897186454718,53.63861072027524,29.499295075381454,6.0,7175139328.0,-2.32,-6.275862068965518,-8.986222686887682
ELEV,1,,Healthcare,22508658.934389748,,,,3.0,104976376.0,-2.03,-1.2192118226600988,-63.84647635101716
ELF,6,,Consumer Defensive,308313882.3413086,27.782678145740274,65.12263351298242,30.33693994977737,8.0,8548699648.0,2.14,72.36915887850468,80.3588174115839
ELME,1,4.9099997,Real Estate,8530427.821044922,9.944615350521785,60.75683489259067,10.401194108806678,44.0,1288504192.0,-0.61,-24.049180327868854,-5.722620531340601
ELP,0,6.819999999999999,Utilities,5059069.755427042,10.071523718796366,23.815760485190534,-2.596431522569742,26.0,6026605568.0,0.59,13.694915254237289,25.030902598095327
ELS,0,2.73,Real Estate,61602480.0,15.232264587120381,49.982554903494055,12.37136049398998,31.0,12816795648.0,1.58,41.48734177215189,11.238740329638128
ELV,1,1.25,Healthcare,571071228.9626058,13.357083486240217,,,23.0,111293038592.0,25.2,18.79642857142857,13.65364467785345
ELWS,0,,Technology,177121.82565271851,12.25855212181478,65.2049591305355,-0.47632347004786246,1.0,5584129.0,-0.17,-2.1841176470588235,
EMKR,1,,Technology,267012.658983469,29.365806475342755,26.007253756362488,151.58372307277835,27.0,46202996.0,-0.96,-0.6236458333333333,-11.09481680598172
EMN,0,3.8699999999999997,Basic Materials,72704276.67236328,12.316271162442316,22.457297834966003,6.0311392405063335,31.0,9931389952.0,4.98,16.82730923694779,6.630071808714786
EMR,0,2.22,Industrials,226254705.78308102,-2.1175317148849278,45.18080917613487,3.1937032349377428,52.0,53946146816.0,3.72,25.373655913978492,10.66889866505738
ENB,0,7.580000000000001,Energy,177060164.58180743,16.83927481566484,33.07802367279756,5.853237613032763,40.0,75861016576.0,1.11,31.981981981981978,4.546947389200355
ENIC,0,11.91,Utilities,2161876.927658717,32.89532197897611,30.91491512568997,-5.576342391723454,8.0,4138932224.0,1.1,2.6727272727272724,-1.4613408834183432
ENLC,0,4.37,Energy,23878554.53268687,56.99910478613529,17.26928367712488,21.73116641238153,20.0,5541602816.0,0.63,19.253968253968257,17.642400157268256
ENOV,2,,Industrials,32983269.51039632,18.429302064804144,54.67003596543956,20.311756297433313,16.0,3205219584.0,-2.07,-28.362318840579714,14.341493986105032
ENPH,0,,Technology,460802788.6348469,73.55664489102412,42.20153474161453,68.01607260121044,12.0,14757067776.0,3.99,27.08521303258145,204.584292094731
ENR,1,3.7900000000000005,Industrials,13509040.097757977,2.6878642285234995,38.13368737867132,1.3808113622983176,9.0,2272978176.0,1.94,16.324742268041238,-6.323901327642083
ENSC,1,,Healthcare,4034224.7584819794,,,,6.0,4184366.0,-1.86,-0.7150537634408602,-44.83600441807208
ENTG,2,0.32,Technology,143788196.46774292,33.20393320091165,44.78086241603105,28.242993195638245,24.0,18498088960.0,1.33,92.62406015037594,49.12060494442322
ENV,1,,Technology,24664459.1217041,11.675722120438415,65.2852472798863,5.65033900308719,14.0,2784738560.0,-1.8,-28.305555555555557,2.835198661695545
ENVX,0,,Industrials,45017364.25477345,,,362.21140672955624,3.0,1627407744.0,-1.27,-7.637795275590551,-26.877867887070853
EOG,0,3.25,Energy,324864537.6843262,74.57072566985227,68.11613048394413,128.39693337525867,35.0,65365282816.0,13.48,8.315281899109792,14.579234784908149
EOLS,4,,Healthcare,9100845.0,62.69557634043442,62.11783690646661,55.990337603459984,6.0,671756928.0,-1.12,-10.383928571428571,15.84036431823327
EOSE,0,,Industrials,6976893.877236843,1144.6825202937152,-1360.506442793638,457.4451119987597,4.0,197373680.0,-2.33,-0.42540772532188836,-56.86201535282789
EPAM,1,,Technology,132366795.69580078,34.845573336439315,33.548123344295156,29.084146982737636,12.0,16636784640.0,8.02,35.95137157107232,35.61520762936409
EPC,1,1.6199999999999999,Consumer Defensive,15656615.898259481,4.926714189593762,43.27000942158621,2.4653798491729106,24.0,1855555200.0,2.21,16.714932126696834,1.2257153442034237
EPD,4,7.39,Energy,141411227.60910034,46.30700835821132,14.426744597131226,17.653487444814076,26.0,58901385216.0,2.46,11.02439024390244,3.052874520945803
EPR,0,7.430000000000001,Real Estate,21669864.44613139,22.768269351259107,88.4404712072398,26.538131036342392,27.0,3346131712.0,1.93,23.015544041450777,2.0655980186607708
EPRT,0,4.62,Real Estate,29972726.375160214,32.41005115894109,97.97537797349499,33.14027036683495,6.0,3859647744.0,1.19,20.714285714285715,18.203244064627516
EQC,1,,Real Estate,13463172.1085612,-1.8142414010101804,57.83846906046052,3.5656471803128973,38.0,2048870528.0,0.7,27.42857142857143,-7.853102575444706
EQH,0,2.6500002,Financial Services,79948685.50834656,7.952033596488012,,,6.0,11241153536.0,4.64,7.157327586206897,16.793427767684296
EQNR,0,4.21,Energy,86396319.32942708,80.93320978515287,42.536346744747924,225.6659295041377,23.0,83901505536.0,5.55,5.136936936936937,12.246458808828748
EQR,0,4.5100003,Real Estate,125134438.63403322,3.408811378900789,63.3122018474644,3.6014622212972247,31.0,22312640512.0,1.74,33.770114942528735,3.4729451201776165
EQT,0,1.77,Energy,210179913.5948944,117.38323947214269,28.858438478124572,-204.41093273861338,44.0,14668098560.0,7.3,4.884931506849314,23.058953573048644
EQX,0,,Basic Materials,8980302.615925472,8.00123549667518,18.153505891202176,-34.66027190861638,5.0,1362837248.0,0.15,28.866666666666667,-0.6827580163443923
ERAS,0,,Healthcare,1283750.6880203881,,,,3.0,255337056.0,-1.73,-0.976878612716763,-61.45818597530355
ERF,0,1.73,Energy,16614148.329079945,94.0132914851847,39.608341173120074,359.85027256434677,24.0,2952128256.0,2.91,4.910652920962199,45.5071987941004
ERIC,0,4.46,Technology,95330629.50571378,8.427392420338425,41.80676301700313,9.97407056014521,43.0,20211519488.0,-0.76,-7.447368421052632,-2.468992601924312
ERII,0,,Industrials,9050452.956008911,16.849840254093206,69.14612034414262,17.10551771338775,16.0,918415872.0,0.27,60.18518518518518,25.92783584371054
ERJ,0,,Industrials,17036276.74472809,9.737985137853522,16.15690645519345,38.201569805770305,24.0,3371961088.0,-1.24,-14.806451612903226,22.80730676771319
ES,0,5.08,Utilities,174588964.0598297,17.68267856897182,47.337715191304405,10.481063490041853,51.0,18570170368.0,3.34,15.916167664670658,0.6849443941989612
ESI,0,1.43,Basic Materials,32573151.27571106,17.846925871072592,39.93597666604399,10.698069145093248,11.0,5414788608.0,0.21,106.76190476190477,20.78801794000727
ESMT,2,,Technology,42365862.69962311,44.047763799101126,75.073911013185,45.95088139482571,3.0,3883488512.0,0.15,153.8,1.5410606488368774
ESNT,2,1.82,Financial Services,26697943.2538859,0.8781207234621724,,,11.0,5876070400.0,6.23,8.834670947030498,12.32706252060619
ESPR,0,,Healthcare,18848314.21268463,-34.65673482673516,81.69867093243516,-47.97532184594007,11.0,363213696.0,-2.27,-0.8942731277533039,-26.98860019058777
ESRT,2,1.39,Real Estate,14020997.641754152,9.467784566032467,54.41110275395504,13.026144918675197,11.0,2817886720.0,0.33,30.484848484848484,-4.028555496925499
ESS,0,3.94,Real Estate,97872496.9482422,3.925655933074823,67.73684194085821,4.263921118385284,30.0,15591608320.0,8.14,28.828009828009826,5.425633458340998
ESTA,1,,Healthcare,20666173.67553711,38.6251802603257,65.11363677628417,43.74037198983457,6.0,911032960.0,-2.83,-12.473498233215546,10.618403671604302
ESTC,2,,Technology,187106429.67203775,35.99312382536191,72.54188251862244,36.71292145204812,6.0,11897873408.0,-1.98,-60.313131313131315,32.425104518896305
ET,4,8.88,Energy,172241612.54858017,53.19089512784928,19.90504338795126,18.48942833893602,18.0,47312060416.0,1.06,13.273584905660377,7.790236360624888
ETN,2,1.4199998999999999,Industrials,346522598.3333333,7.819018695661805,31.993672921157458,12.476014279197411,52.0,96458907648.0,7.46,32.38203753351206,30.57908281005883
ETNB,0,,Healthcare,11637341.949939728,,,,5.0,954430400.0,-1.8,-5.688888888888889,-17.131884408697523
ETR,0,4.65,Utilities,117463053.5873413,16.661423439518796,41.29849882892466,8.780181830262668,52.0,20555173888.0,6.94,14.005763688760807,5.034395082194221
ETRN,2,5.6999996,Energy,38005029.367713936,-4.867802560708406,76.11976124281647,-6.696458701517038,6.0,4562237952.0,0.73,14.424657534246574,-5.548583407293853
ETSY,0,,Consumer Cyclical,301965198.71602374,22.573806410459042,71.9834431799232,20.792705870800198,9.0,8181046784.0,2.47,27.659919028340077,48.03312785092025
ETWO,0,,Technology,8401456.880931854,,,24.37089668418276,4.0,1187276160.0,-4.3,-0.9023255813953488,-23.068990655266123
EU,2,,Energy,6263190.0,,,704.1876036504297,13.0,751733952.0,-0.1,-44.5,123.10137859445835
EURN,4,17.989999,Energy,21313148.93870036,19.14303903492994,2.208735444405613,-168.28238295354794,9.0,3579820288.0,3.41,5.167155425219941,30.155396182028454
EVA,0,,Basic Materials,844672.9521661995,12.051718848785686,7.415173567265249,-12.977370827807938,9.0,26453706.0,-4.87,-0.07291581108829569,-2.334099805757654
EVGO,0,,Consumer Cyclical,6987658.333333333,107.98609486582916,-38.217332400037485,-23.05071029622142,4.0,754372032.0,-0.41,-6.146341463414634,-27.376746840039363
EVH,0,,Healthcare,30459221.251576744,23.551499166088902,25.21978509937182,18.1137710319311,9.0,3566059264.0,-1.03,-30.11650485436893,22.84285505337823
EVLV,0,,Industrials,3818394.07831192,262.41428669125133,15.764660018474794,77.7408782448274,4.0,680107520.0,-0.8,-5.625,-5.0444764821718024
EVRG,0,5.21,Utilities,140353195.3678894,9.289603888586907,46.86492575119743,5.058278881477063,51.0,11336730624.0,2.96,16.6722972972973,-0.35849418322277343
EVRI,0,,Consumer Cyclical,9276480.163828533,45.307873718434166,81.41055558228811,42.355660589892786,19.0,918129600.0,1.17,9.170940170940172,32.79080086352694
EVTL,0,,Industrials,296574.719581604,-24.13793103448276,,-20.93023255813954,4.0,139362928.0,0.01,63.0,-54.1227897328566
EW,0,,Healthcare,229804931.08988443,11.078336743214246,77.1410801141646,14.249886706899195,24.0,43995508736.0,2.34,31.000000000000004,14.283776420238672
EWBC,2,2.91,Financial Services,98259648.40698242,20.68962928771153,,,25.0,10604246016.0,8.18,9.25794621026895,12.819703322320326
EWCZ,2,,Consumer Defensive,12865672.815755209,44.41915662467801,70.29431370223602,53.260113420010654,3.0,960973184.0,0.14,109.92857142857142,-24.910977468089627
EWTX,2,,Healthcare,25451076.59613291,,,,3.0,1413599360.0,-1.4,-10.942857142857143,-9.560391308643343
EXAI,0,,Healthcare,3601967.2787094116,91.18548929769422,-10.647509504394096,-242.1434324919332,3.0,733397760.0,-1.48,-3.9662162162162162,-26.38182673213857
EXAS,0,,Healthcare,113122556.175944,18.21791153949588,74.24044330644016,15.23223131306246,23.0,11614187520.0,-1.58,-40.64556962025316,12.321171375868083
EXC,0,4.2299999999999995,Utilities,218701905.0,-19.67568281735282,36.66440622946635,-5.908522500514718,51.0,33924495360.0,2.15,15.851162790697675,3.6954866131519197
EXEL,0,,Healthcare,52938151.02905273,28.789651093977653,96.34931982519704,28.833415831168274,24.0,6875635712.0,0.29,76.24137931034483,6.374732437137368
EXFY,0,,Technology,1022803.6294770242,40.42235024435418,62.8770476031336,39.99913786762094,3.0,142350688.0,-0.46,-3.695652173913043,-75.97949892872907
EXG,0,9.13,Financial Services,4642381.218338013,604.1032760240878,,,17.0,2361465088.0,0.46,16.76086956521739,2.4512057826437124
EXK,0,,Basic Materials,6060235.369259516,23.26069859871377,22.08586804308909,37.36114739671883,18.0,339491680.0,0.06,28.333333333333332,8.506304843856945
EXLS,1,,Technology,25068799.91378784,21.45715114310669,36.61324294353772,24.225663506850736,18.0,5368243712.0,1.05,30.999999999999996,26.53896274677989
EXPD,2,1.09,Industrials,145120190.0,37.85765998512745,12.651637800958584,43.24680413835659,40.0,18490572800.0,5.34,23.816479400749067,15.49385970498813
EXPE,0,,Consumer Cyclical,320796630.0,50.53615241108018,78.79270650664856,70.39402383776941,19.0,20628647936.0,5.47,27.160877513711153,15.334965067037142
EXPI,0,1.55,Real Estate,10594328.472696941,65.81927295539711,8.234944857804788,54.70484219633135,6.0,1986535936.0,0.03,429.0,99.36852541382034
